x_o,x_d,x_h,y
38,797,234,False
38,794,234,False
38,791,234,False
38,788,234,False
38,785,234,False
38,782,234,False
38,779,234,False
38,776,234,False
38,773,234,False
38,770,234,False
38,767,234,False
38,764,234,False
38,761,234,False
38,758,234,False
38,755,234,False
38,752,234,False
38,749,234,False
38,746,234,False
38,743,234,False
38,740,234,False
38,737,234,False
38,734,234,False
38,731,234,False
38,728,234,False
38,725,234,False
38,722,234,False
38,719,234,False
38,716,234,False
38,713,234,False
38,710,234,False
38,707,234,False
38,704,234,False
38,701,234,False
38,698,234,False
38,695,234,False
38,692,234,False
38,689,234,False
38,686,234,False
38,683,234,False
38,680,234,False
38,677,234,False
38,674,234,False
38,671,234,False
38,668,234,False
38,665,234,False
38,662,234,False
38,659,234,False
38,656,234,False
38,653,234,False
38,650,234,False
38,647,234,False
38,644,234,False
38,641,234,False
38,638,234,False
38,635,234,False
38,632,234,False
38,629,234,False
38,626,234,False
38,623,234,False
38,620,234,False
38,617,234,False
38,614,234,False
38,611,234,False
38,608,234,False
38,605,234,False
38,602,234,False
38,599,234,False
38,596,234,False
38,593,234,False
38,590,234,False
38,587,234,False
38,584,234,False
38,581,234,False
38,578,234,False
38,575,234,False
38,572,234,False
38,569,234,False
38,566,234,False
38,563,234,False
38,560,234,False
38,557,234,False
38,554,234,False
38,551,234,False
38,548,234,False
38,545,234,False
38,542,234,False
38,539,234,False
38,536,234,False
38,533,234,False
38,530,234,False
38,527,234,False
38,524,234,False
38,521,234,False
38,518,234,False
38,515,234,False
38,512,234,False
38,509,234,False
38,506,234,False
38,503,234,False
38,500,234,False
38,497,234,False
38,494,234,False
38,491,234,False
38,488,234,False
38,485,234,False
38,482,234,False
38,479,234,False
38,476,234,False
38,473,234,False
38,470,234,False
38,467,234,False
38,464,234,False
38,461,234,False
38,458,234,False
38,455,234,False
38,452,234,False
38,449,234,False
38,446,234,False
38,443,234,False
38,440,234,False
38,437,234,False
38,434,234,False
38,431,234,False
38,428,234,False
38,425,234,False
38,422,234,False
38,419,234,False
38,416,234,False
38,413,234,False
38,410,234,False
38,407,234,False
38,404,234,False
38,401,234,False
38,398,234,False
38,395,234,False
38,392,234,False
38,389,234,False
38,386,234,False
38,383,234,False
38,380,234,False
38,377,234,False
38,374,234,False
38,371,234,False
38,368,234,False
38,365,234,False
38,362,234,False
38,359,234,False
38,356,234,False
38,353,234,False
38,350,234,False
38,347,234,False
38,344,234,False
38,341,234,False
38,338,234,False
38,335,234,False
38,332,234,False
38,329,234,False
38,326,234,False
38,323,234,False
38,320,234,False
38,317,234,False
